route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_36,,Kashmere Gate,Flexible e-Rickshaw from Kashmere Gate,,715,,,,,,
route_35,,Shivaji Park,Flexible e-Rickshaw from Shivaji Park,,715,,,,,,
route_14,,Pratap Nagar,Flexible e-Rickshaw from Pratap Nagar,,715,,,,,,
route_12,,Inderlok,Flexible e-Rickshaw from Inderlok,,715,,,,,,
route_107,,Udyog Nagar,Flexible e-Rickshaw from Udyog Nagar,,715,,,,,,
route_204,,Chhatar Pur,Flexible e-Rickshaw from Chhatar Pur,,715,,,,,,
route_31,,Pitampura,Flexible Private e-Rickshaw from Pitampura,,715,,,,,,
route_266,,Dhansa Bus Stand,Flexible e-Rickshaw from Dhansa Bus Stand,,715,,,,,,
route_30,,Pitampura,Flexible e-Rickshaw from Pitampura,,715,,,,,,
route_192,,Tilak Nagar,Flexible e-Rickshaw from Tilak Nagar,,715,,,,,,
route_222,,Kaushambi,Flexible Shared Auto from Kaushambi,,715,,,,,,
route_26,,Rohini West,Flexible e-Rickshaw from Rohini West,,715,,,,,,
route_132,,Rohini Sector-18-19,Flexible e-Rickshaw from Rohini Sector-18-19,,715,,,,,,
