shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_7,28.377214,77.292091,52,4694.901
shp_715_7,28.377087,77.290131,53,4887.401
shp_715_7,28.377029,77.289749,54,4925.597
shp_715_7,28.376944,77.289467,55,4954.675
shp_715_7,28.376904,77.289436,56,4960.156
shp_715_7,28.376888,77.289406,57,4963.324
shp_715_7,28.376883,77.289375,58,4966.483
shp_715_7,28.376896,77.289322,59,4972.167
shp_715_7,28.37686,77.289024,60,5001.394
shp_715_7,28.376875,77.288841,61,5019.229
shp_715_7,28.376892,77.288765,62,5026.986
shp_715_7,28.376886,77.288536,63,5049.226
shp_715_7,28.376738,77.287041,64,5196.903
shp_715_7,28.376631,77.285797,65,5319.208
shp_715_7,28.376631,77.285797,66,5319.208
shp_715_7,28.376566,77.284988,67,5398.854
shp_715_7,28.376518,77.284027,68,5493.29
shp_715_7,28.376518,77.284027,69,5493.29
shp_715_7,28.376514,77.283623,70,5533.142
shp_715_7,28.376522,77.28302,71,5591.936
shp_715_7,28.376297,77.283005,72,5617.138
shp_715_7,28.376301,77.282341,73,5682.507
shp_715_7,28.376335,77.28228,74,5689.64
shp_715_7,28.376383,77.282303,75,5695.266
shp_715_7,28.376455,77.282372,76,5706.142
shp_715_7,28.376488,77.28244,77,5713.412
shp_715_7,28.376497,77.282478,78,5717.156
shp_715_7,28.376497,77.282478,79,5717.156
shp_715_7,28.376497,77.282478,80,5717.703
shp_715_8,28.697475,76.91922,1,0.0
shp_715_8,28.696848,76.920403,2,134.894
shp_715_8,28.695528,76.922844,3,414.968
shp_715_8,28.695528,76.922844,4,414.968
shp_715_8,28.694422,76.924889,5,649.458
shp_715_8,28.694422,76.924889,6,649.458
shp_715_8,28.692684,76.928078,7,1015.946
shp_715_8,28.692684,76.928078,8,1015.946
shp_715_8,28.692112,76.929131,9,1136.745
shp_715_8,28.691908,76.929642,10,1191.897
shp_715_8,28.691833,76.929878,11,1216.222
shp_715_8,28.691383,76.931488,12,1380.995
shp_715_8,28.69112,76.932571,13,1490.844
shp_715_8,28.691004,76.933273,14,1561.124
shp_715_8,28.69096,76.933693,15,1601.762
shp_715_8,28.690746,76.935448,16,1775.364
shp_715_8,28.690746,76.935448,17,1775.364
shp_715_8,28.690657,76.93631,18,1860.061
shp_715_8,28.690386,76.939392,19,2162.031
shp_715_8,28.690386,76.939392,20,2162.031
shp_715_8,28.690266,76.940804,21,2300.576
shp_715_8,28.690266,76.940804,22,2300.576
shp_715_8,28.690226,76.941231,23,2342.533
shp_715_8,28.690115,76.942657,24,2482.434
shp_715_8,28.690023,76.943901,25,2604.835
shp_715_8,28.690023,76.943901,26,2604.835
shp_715_8,28.689875,76.945358,27,2747.826
shp_715_8,28.689833,76.945686,28,2780.503
shp_715_8,28.689821,76.945869,29,2798.009
shp_715_8,28.689739,76.946548,30,2865.11
shp_715_8,28.689739,76.946548,31,2865.11
shp_715_8,28.68943,76.949783,32,3182.56
shp_715_8,28.68943,76.949783,33,3182.56
shp_715_8,28.68928,76.951363,34,3337.617
shp_715_8,28.688747,76.957344,35,3924.677
shp_715_8,28.688507,76.959831,36,4169.188
shp_715_8,28.688467,76.960144,37,4200.048
shp_715_8,28.688417,76.96064,38,4249.318
shp_715_8,28.688306999999998,76.961456,39,4329.304
shp_715_8,28.688059,76.964088,40,4587.827
shp_715_9,28.608654,77.140457,1,0.0
shp_715_9,28.607954,77.141014,2,94.956
shp_715_9,28.607576,77.14135,3,148.136
shp_715_9,28.60726,77.141708,4,197.915
shp_715_9,28.606808,77.14225,5,271.247
shp_715_9,28.606436,77.142853,6,342.77
shp_715_9,28.606104,77.143677,7,431.592
shp_715_9,28.606003,77.143776,8,446.296
shp_715_9,28.605904,77.144012,9,471.947
shp_715_9,28.605846,77.144264,10,497.566
shp_715_9,28.605762,77.144814,11,552.451
shp_715_9,28.605743,77.144882,12,559.364
shp_715_9,28.605713,77.144928,13,564.754
shp_715_9,28.605675,77.144951,14,569.34
shp_715_9,28.605639,77.144943,15,573.497
shp_715_9,28.605583,77.14492,16,580.05
shp_715_9,28.605564,77.144882,17,584.554
